             20.12.2019    08:14:47           27,866926           43,231056           57,023201           59,777363           58,225819           56,002483           49,458046           48,591007         1  1  1  1  1  1  1  1
             20.12.2019    08:14:48           27,812830           43,200039           57,103455           59,818180           58,305679           55,998848           49,490330           48,633812         1  1  1  1  1  1  1  1
             20.12.2019    08:14:48           27,841621           43,293808           57,089653           59,896488           58,274246           56,013695           49,408970           48,678391         1  1  1  1  1  1  1  1
             20.12.2019    08:14:48           27,907770           43,288063           57,085728           59,802425           58,314320           55,921482           49,462246           48,594677         1  1  1  1  1  1  1  1
             20.12.2019    08:14:49           27,837202           43,366852           57,163689           59,846527           58,294994           56,021309           49,350750           48,565987         1  1  1  1  1  1  1  1
             20.12.2019    08:14:49           27,846970           43,298477           57,098225           59,906647           58,259331           55,964577           49,451313           48,556343         1  1  1  1  1  1  1  1
             20.12.2019    08:14:50           27,900335           43,305775           57,099911           59,851639           58,278080           56,034622           49,381954           48,545090         1  1  1  1  1  1  1  1
             20.12.2019    08:14:50           27,824263           43,321514           57,107235           59,852673           58,240665           55,990150           49,406155           48,571072         1  1  1  1  1  1  1  1
             20.12.2019    08:14:50           27,818708           43,388668           57,098942           59,867413           58,253696           55,965584           49,412380           48,563221         1  1  1  1  1  1  1  1
             20.12.2019    08:14:51           27,920467           43,360489           57,160851           59,910378           58,344391           55,990177           49,395832           48,551498         1  1  1  1  1  1  1  1
             20.12.2019    08:14:51           27,898216           43,309807           57,150269           59,910183           58,218559           55,941879           49,413967           48,518616         1  1  1  1  1  1  1  1
             20.12.2019    08:14:52           27,950010           43,342636           57,143898           59,803951           58,302376           56,008148           49,423306           48,506676         1  1  1  1  1  1  1  1
             20.12.2019    08:14:52           27,943729           43,348854           57,179417           59,857071           58,237888           55,993828           49,380280           48,423092         1  1  1  1  1  1  1  1
             20.12.2019    08:14:52           27,956984           43,266899           57,158875           59,885147           58,174610           55,944920           49,369148           48,554092         1  1  1  1  1  1  1  1
             20.12.2019    08:14:53           27,971012           43,349068           57,110088           59,895802           58,226387           55,938061           49,342396           48,539223         1  1  1  1  1  1  1  1
             20.12.2019    08:14:53           27,949484           43,279114           57,039944           59,833977           58,219196           55,957848           49,339603           48,548561         1  1  1  1  1  1  1  1
             20.12.2019    08:14:54           27,908775           43,276417           57,171780           59,895649           58,202389           56,033600           49,370968           48,542267         1  1  1  1  1  1  1  1
             20.12.2019    08:14:54           27,878141           43,306335           57,086544           59,907272           58,205250           55,807446           49,438141           48,431854         1  1  1  1  1  1  1  1
             20.12.2019    08:14:54           27,960487           43,323158           57,108036           59,785004           58,185593           56,046112           49,395176           48,512978         1  1  1  1  1  1  1  1
             20.12.2019    08:14:55           27,943445           43,369396           57,131618           59,871231           58,190434           55,980450           49,407082           48,591457         1  1  1  1  1  1  1  1
             20.12.2019    08:14:55           27,871359           43,342422           57,049347           59,931702           58,149910           56,005100           49,472576           48,596592         1  1  1  1  1  1  1  1
             20.12.2019    08:14:55           27,903683           43,289036           57,093033           59,841717           58,243362           55,967754           49,390533           48,441734         1  1  1  1  1  1  1  1
             20.12.2019    08:14:56           27,924658           43,348137           57,111805           59,936638           58,179073           55,955952           49,439404           48,553493         1  1  1  1  1  1  1  1
             20.12.2019    08:14:56           27,942217           43,328136           57,138084           59,821499           58,206257           55,993698           49,397308           48,538040         1  1  1  1  1  1  1  1
             20.12.2019    08:14:57           27,866529           43,363518           57,205605           59,854279           58,215549           56,001389           49,332973           48,580639         1  1  1  1  1  1  1  1
             20.12.2019    08:14:57           27,830057           43,335087           57,113876           59,863724           58,206207           55,963753           49,441227           48,543499         1  1  1  1  1  1  1  1
             20.12.2019    08:14:57           27,858232           43,430664           57,082947           59,872395           58,271320           55,909748           49,393375           48,590767         1  1  1  1  1  1  1  1
             20.12.2019    08:14:58           27,908428           43,366440           57,087608           59,875515           58,180046           55,971123           49,396206           48,566162         1  1  1  1  1  1  1  1
             20.12.2019    08:14:58           27,924479           43,360020           57,112804           59,840572           58,255459           56,029896           49,450413           48,510231         1  1  1  1  1  1  1  1
             20.12.2019    08:14:59           27,865265           43,306313           57,150276           59,807232           58,261902           55,902622           49,429493           48,508942         1  1  1  1  1  1  1  1
             20.12.2019    08:14:59           27,949369           43,327450           57,052956           59,843853           58,211632           55,874512           49,509312           48,589046         1  1  1  1  1  1  1  1
             20.12.2019    08:14:59           27,913822           43,358665           57,177689           59,900826           58,204239           55,965519           49,397327           48,510509         1  1  1  1  1  1  1  1
             20.12.2019    08:15:00           27,972160           43,275917           57,175041           59,877338           58,206348           55,962208           49,442532           48,525299         1  1  1  1  1  1  1  1
             20.12.2019    08:15:00           27,943434           43,384880           57,221512           59,884529           58,179810           55,898724           49,378128           48,498493         1  1  1  1  1  1  1  1
             20.12.2019    08:15:01           27,921770           43,299271           57,129822           59,851074           58,210426           56,025021           49,439789           48,576317         1  1  1  1  1  1  1  1
             20.12.2019    08:15:01           27,990242           43,427277           57,185818           59,788803           58,170444           55,931347           49,430302           48,614941         1  1  1  1  1  1  1  1
             20.12.2019    08:15:01           27,910557           43,302101           57,158978           59,872925           58,202229           55,950008           49,432243           48,605015         1  1  1  1  1  1  1  1
             20.12.2019    08:15:02           27,891642           43,423393           57,183231           59,801594           58,219639           55,894611           49,502895           48,511803         1  1  1  1  1  1  1  1
             20.12.2019    08:15:02           27,904840           43,351963           57,151127           59,757515           58,118328           55,854588           49,456856           48,491364         1  1  1  1  1  1  1  1
             20.12.2019    08:15:03           27,855936           43,379051           57,102825           59,861702           58,189121           55,952820           49,450066           48,511856         1  1  1  1  1  1  1  1
             20.12.2019    08:15:03           27,918276           43,353138           57,144142           59,878460           58,249626           55,902328           49,481056           48,542526         1  1  1  1  1  1  1  1
             20.12.2019    08:15:03           27,971912           43,341267           57,074589           59,825821           58,197742           55,890541           49,474052           48,487301         1  1  1  1  1  1  1  1
             20.12.2019    08:15:04           27,908428           43,355644           57,089436           59,872437           58,215137           55,915943           49,467575           48,456005         1  1  1  1  1  1  1  1
             20.12.2019    08:15:04           27,937986           43,409550           57,143925           59,839195           58,132889           55,838512           49,485001           48,594948         1  1  1  1  1  1  1  1
             20.12.2019    08:15:05           27,927313           43,408745           57,215916           59,859306           58,224815           55,905552           49,489498           48,491940         1  1  1  1  1  1  1  1
             20.12.2019    08:15:05           27,976231           43,347805           57,172012           59,807705           58,121403           55,938145           49,467510           48,615852         1  1  1  1  1  1  1  1
             20.12.2019    08:15:05           27,979553           43,421257           57,204563           59,852425           58,195484           55,912086           49,517998           48,595688         1  1  1  1  1  1  1  1
             20.12.2019    08:15:06           27,943209           43,337166           57,115929           59,925411           58,187473           55,930717           49,451653           48,561069         1  1  1  1  1  1  1  1
             20.12.2019    08:15:06           27,963476           43,365261           57,207405           59,800331           58,272301           55,920128           49,427029           48,541199         1  1  1  1  1  1  1  1
             20.12.2019    08:15:07           27,946133           43,338009           57,145626           59,782017           58,107327           55,929749           49,475063           48,493664         1  1  1  1  1  1  1  1
